Metric,Step,Value
train_mse_170103040103,0,0.0023078620433807373
train_mse_170103040103,1,0.0020687852520495653
train_mse_170103040103,2,0.0026492278557270765
train_mse_170103040103,3,0.002267004456371069
train_mse_170103040103,4,0.0021243554074317217
train_mse_170103040103,5,0.002150009386241436
train_mse_170103040103,6,0.0025602257810533047
train_mse_170103040103,7,0.002257365034893155
train_mse_170103040103,8,0.0033744927495718002
train_mse_170103040103,9,0.005043255165219307
train_mse_170103040103,10,0.00539914658293128
train_mse_170103040103,11,0.005567703861743212
train_mse_170103040103,12,0.005793140269815922
train_mse_170103040103,13,0.0032284362241625786
train_mse_170103040103,14,0.003222835250198841
train_mse_170103040103,15,0.0042139445431530476
train_mse_170103040103,16,0.0027049521449953318
train_mse_170103040103,17,0.0036799523513764143
train_mse_170103040103,18,0.003754128236323595
train_mse_170103040103,19,0.002744634635746479
train_mse_170103040103,20,0.0020535853691399097
train_mse_170103040103,21,0.0032543926499783993
train_mse_170103040103,22,0.0019793349783867598
train_mse_170103040103,23,0.0023957875091582537
train_mse_170103040103,24,0.002880832878872752
train_mse_170103040103,25,0.002566923853009939
train_mse_170103040103,26,0.003579807933419943
train_mse_170103040103,27,0.0034687058068811893
train_mse_170103040103,28,0.0031701764091849327
train_mse_170103040103,29,0.0035330557730048895
test_mse_170103040301,0,0.002206806791946292
test_mse_170103040301,1,0.002481409115716815
test_mse_170103040301,2,0.0020839825738221407
test_mse_170103040301,3,0.0018848683685064316
test_mse_170103040301,4,0.0018852421781048179
test_mse_170103040301,5,0.0018953564576804638
test_mse_170103040301,6,0.0018982363399118185
test_mse_170103040301,7,0.0018126507056877017
test_mse_170103040301,8,0.0018623248906806111
test_mse_170103040301,9,0.0024774770718067884
test_mse_170103040301,10,0.0018558704759925604
test_mse_170103040301,11,0.0027331344317644835
test_mse_170103040301,12,0.0022969066631048918
test_mse_170103040301,13,0.002247868338599801
test_mse_170103040301,14,0.0018261995865032077
test_mse_170103040301,15,0.001532569993287325
test_mse_170103040301,16,0.0020392825827002525
test_mse_170103040301,17,0.0014878215733915567
test_mse_170103040301,18,0.0016975306207314134
test_mse_170103040301,19,0.0016135867917910218
test_mse_170103040301,20,0.0018740615341812372
test_mse_170103040301,21,0.0016360143199563026
test_mse_170103040301,22,0.0017231858801096678
test_mse_170103040301,23,0.002042200183495879
test_mse_170103040301,24,0.0021816070657223463
test_mse_170103040301,25,0.0016893963329494
test_mse_170103040301,26,0.0021129383239895105
test_mse_170103040301,27,0.0016986917471513152
test_mse_170103040301,28,0.0020496409852057695
test_mse_170103040301,29,0.002291096141561866
test_kge_170103040103,0,0.9653974076756169
test_kge_170103040103,1,0.9777890478316842
test_kge_170103040103,2,0.9279532523735773
test_kge_170103040103,3,0.9121322957838244
test_kge_170103040103,4,0.9588627707164746
test_kge_170103040103,5,0.9828558524520855
test_kge_170103040103,6,0.9725186893675362
test_kge_170103040103,7,0.9491152981103633
test_kge_170103040103,8,0.9306527235466683
test_kge_170103040103,9,0.8884756375816784
test_kge_170103040103,10,0.8892334152858339
test_kge_170103040103,11,0.9283859278243799
test_kge_170103040103,12,0.9139414316135244
test_kge_170103040103,13,0.9655321850211103
test_kge_170103040103,14,0.9167586113399855
test_kge_170103040103,15,0.7623004910904486
test_kge_170103040103,16,0.9528831421668288
test_kge_170103040103,17,0.9034409715057599
test_kge_170103040103,18,0.8792236745304356
test_kge_170103040103,19,0.9324195532139695
test_kge_170103040103,20,0.9658740381387619
test_kge_170103040103,21,0.9165582330089601
test_kge_170103040103,22,0.9516363344281155
test_kge_170103040103,23,0.962868064391504
test_kge_170103040103,24,0.9000630576716117
test_kge_170103040103,25,0.9798283332539831
test_kge_170103040103,26,0.8925325517071601
test_kge_170103040103,27,0.8876707366902045
test_kge_170103040103,28,0.9652253364175173
test_kge_170103040103,29,0.9189739192253418
test_mse_170103040502,0,0.0013325625332072377
test_mse_170103040502,1,0.0025145350955426693
test_mse_170103040502,2,0.002265887102112174
test_mse_170103040502,3,0.001959768356755376
test_mse_170103040502,4,0.0020271046087145805
test_mse_170103040502,5,0.0017805935349315405
test_mse_170103040502,6,0.0018783238483592868
test_mse_170103040502,7,0.0020232978276908398
test_mse_170103040502,8,0.002046304987743497
test_mse_170103040502,9,0.002032002666965127
test_mse_170103040502,10,0.0017252160469070077
test_mse_170103040502,11,0.0019327508052811027
test_mse_170103040502,12,0.0022049029357731342
test_mse_170103040502,13,0.001893665175884962
test_mse_170103040502,14,0.001824518432840705
test_mse_170103040502,15,0.001932762679643929
test_mse_170103040502,16,0.0016965226968750358
test_mse_170103040502,17,0.0021040767896920443
test_mse_170103040502,18,0.0019438532181084156
test_mse_170103040502,19,0.0017687532817944884
test_mse_170103040502,20,0.001762100961059332
test_mse_170103040502,21,0.001736163510940969
test_mse_170103040502,22,0.0021430663764476776
test_mse_170103040502,23,0.002005058340728283
test_mse_170103040502,24,0.0019670622423291206
test_mse_170103040502,25,0.0016674096696078777
test_mse_170103040502,26,0.0020168989431113005
test_mse_170103040502,27,0.0019411530811339617
test_mse_170103040502,28,0.0018075443804264069
test_mse_170103040502,29,0.0017841446679085493
test_kge_170103040602,0,0.8064062011806508
test_kge_170103040602,1,0.7918828604058123
test_kge_170103040602,2,0.8970630850602541
test_kge_170103040602,3,0.812442950794276
test_kge_170103040602,4,0.7796876731710776
test_kge_170103040602,5,0.7834445706611677
test_kge_170103040602,6,0.7862346196936671
test_kge_170103040602,7,0.7534253432325334
test_kge_170103040602,8,0.8356189037977141
test_kge_170103040602,9,0.7811685807900872
test_kge_170103040602,10,0.8685760802217578
test_kge_170103040602,11,0.8519992118932128
test_kge_170103040602,12,0.8160543604766661
test_kge_170103040602,13,0.857349604852302
test_kge_170103040602,14,0.7845588239733803
test_kge_170103040602,15,0.8235751805587547
test_kge_170103040602,16,0.8528510523139503
test_kge_170103040602,17,0.8163333963107585
test_kge_170103040602,18,0.8292161912863374
test_kge_170103040602,19,0.7909973245232191
test_kge_170103040602,20,0.8433063975703978
test_kge_170103040602,21,0.8537379443717636
test_kge_170103040602,22,0.8033659870562915
test_kge_170103040602,23,0.8636457230103123
test_kge_170103040602,24,0.8138243072080538
test_kge_170103040602,25,0.8492125471904345
test_kge_170103040602,26,0.8534319699520895
test_kge_170103040602,27,0.8049890302539221
test_kge_170103040602,28,0.843198888874729
test_kge_170103040602,29,0.751947050045123
train_mse_170103040603,0,0.0006529002566821873
train_mse_170103040603,1,0.0007052377332001925
train_mse_170103040603,2,0.0005308784893713892
train_mse_170103040603,3,0.001012213877402246
train_mse_170103040603,4,0.012562968768179417
train_mse_170103040603,5,0.0016077399486675858
train_mse_170103040603,6,0.0012591398553922772
train_mse_170103040603,7,0.0016078985063359141
train_mse_170103040603,8,0.0014040759997442365
train_mse_170103040603,9,0.001352667692117393
train_mse_170103040603,10,0.0011806784896180034
train_mse_170103040603,11,0.0007325460319407284
train_mse_170103040603,12,0.0007165723363868892
train_mse_170103040603,13,0.0006286138668656349
train_mse_170103040603,14,0.0006483561010099947
train_mse_170103040603,15,0.0007203640416264534
train_mse_170103040603,16,0.0006437698611989617
train_mse_170103040603,17,0.0005968158366158605
train_mse_170103040603,18,0.000608117668889463
train_mse_170103040603,19,0.0006908262730576098
train_mse_170103040603,20,0.0006738691008649766
train_mse_170103040603,21,0.0005882802070118487
train_mse_170103040603,22,0.0005652784020639956
train_mse_170103040603,23,0.000622277962975204
train_mse_170103040603,24,0.0005479678511619568
train_mse_170103040603,25,0.0005334315355867147
train_mse_170103040603,26,0.0005618272116407752
train_mse_170103040603,27,0.0006371245253831148
train_mse_170103040603,28,0.0005842945538461208
train_mse_170103040603,29,0.0005062876152805984
test_kge_170103040608,0,0.7711850295566741
test_kge_170103040608,1,0.7840025008109345
test_kge_170103040608,2,0.7996755323244975
test_kge_170103040608,3,0.814921242567825
test_kge_170103040608,4,0.8226814886122824
test_kge_170103040608,5,0.8380029039206232
test_kge_170103040608,6,0.847162676338264
test_kge_170103040608,7,0.8587732202893742
test_kge_170103040608,8,0.8684307500183421
test_kge_170103040608,9,0.871880296938889
test_kge_170103040608,10,0.877219280028779
test_kge_170103040608,11,0.8761074242663842
test_kge_170103040608,12,0.9018181552131316
test_kge_170103040608,13,0.9038893838546591
test_kge_170103040608,14,0.9088128135127769
test_kge_170103040608,15,0.9108514811917238
test_kge_170103040608,16,0.8618073091243312
test_kge_170103040608,17,0.9022852362535344
test_kge_170103040608,18,0.9045644274763466
test_kge_170103040608,19,0.8887763516580076
test_kge_170103040608,20,0.8927969598221095
test_kge_170103040608,21,0.9057672518762551
test_kge_170103040608,22,0.9050802159435096
test_kge_170103040608,23,0.9305154948290094
test_kge_170103040608,24,0.8992673576620052
test_kge_170103040608,25,0.9282922858136955
test_kge_170103040608,26,0.880412334360768
