Metric,Step,Value
train_mse_160401010102,0,4.190233812551014e-05
train_mse_160401010102,1,5.772427539341152e-05
train_mse_160401010102,2,4.913513839710504e-05
train_mse_160401010102,3,4.250327401678078e-05
train_mse_160401010102,4,4.417325180838816e-05
train_mse_160401010102,5,5.720787521568127e-05
train_mse_160401010102,6,4.4798682210966945e-05
train_mse_160401010102,7,4.208349491818808e-05
train_mse_160401010102,8,3.9332269807346165e-05
train_mse_160401010102,9,4.0042843465926126e-05
train_kge_160401010303,0,0.9374022076369808
train_kge_160401010303,1,0.9127420125571483
train_kge_160401010303,2,0.9260521987943986
train_kge_160401010303,3,0.9538763943422274
train_kge_160401010303,4,0.9392346896186496
train_kge_160401010303,5,0.9174006484769645
train_kge_160401010303,6,0.9332964702677826
train_kge_160401010303,7,0.9516380777794814
train_kge_160401010303,8,0.9602566024197217
train_kge_160401010303,9,0.8770961267912136
train_mse_160401010203,0,5.139901259099133e-05
train_mse_160401010203,1,5.7663295592647046e-05
train_mse_160401010203,2,5.8618734328774735e-05
train_mse_160401010203,3,0.00010799858864629641
train_mse_160401010203,4,5.437018990051001e-05
train_mse_160401010203,5,5.5241951486095786e-05
train_mse_160401010203,6,5.8541252656141296e-05
train_mse_160401010203,7,5.272301132208668e-05
train_mse_160401010203,8,5.209114897297695e-05
train_mse_160401010203,9,8.772764704190195e-05
test_mse_160401010304,0,0.00015477745910175145
test_mse_160401010304,1,0.00016394813428632915
test_mse_160401010304,2,0.00014930339239072055
test_mse_160401010304,3,0.0001517560740467161
test_mse_160401010304,4,0.0001548530563013628
test_mse_160401010304,5,0.00014731667761225253
test_mse_160401010304,6,0.00014671050303149968
test_mse_160401010304,7,0.00015410088235512376
test_mse_160401010304,8,0.0001536282361485064
test_mse_160401010304,9,0.00016123727255035192
test_mse_160401010402,0,0.0004753147950395942
test_mse_160401010402,1,0.0005304876831360161
test_mse_160401010402,2,0.00048320009955205023
test_mse_160401010402,3,0.00046726202708669007
test_mse_160401010402,4,0.000574008678086102
test_mse_160401010402,5,0.00046141151688061655
test_mse_160401010402,6,0.0004361241590231657
test_mse_160401010402,7,0.0005043183919042349
test_mse_160401010402,8,0.0004711514920927584
test_mse_160401010402,9,0.0005066296434961259
train_mse_160401010104,0,9.692365711089224e-05
train_mse_160401010104,1,0.0001289975771214813
train_mse_160401010104,2,9.946628415491432e-05
train_mse_160401010104,3,0.00010021491470979527
train_mse_160401010104,4,0.0001218999459524639
train_mse_160401010104,5,0.00011156688560731709
train_mse_160401010104,6,7.799908780725673e-05
train_mse_160401010104,7,8.651020471006632e-05
train_mse_160401010104,8,7.515872130170465e-05
train_mse_160401010104,9,8.714190335012972e-05
test_kge_160401010303,0,0.528716443974673
test_kge_160401010303,1,0.6396947604129012
test_kge_160401010303,2,0.5597201494854066
test_kge_160401010303,3,0.5516502303503357
test_kge_160401010303,4,0.6278292904166339
test_kge_160401010303,5,0.6404669470433443
test_kge_160401010303,6,0.5536259366727975
test_kge_160401010303,7,0.6130184650578583
test_kge_160401010303,8,0.6289130452180811
test_kge_160401010303,9,0.706132729807404
test_kge_160401010304,0,0.4703424941137251
test_kge_160401010304,1,0.36893399625956536
test_kge_160401010304,2,0.4582936473977409
test_kge_160401010304,3,0.49048268628907243
test_kge_160401010304,4,0.5640211377725304
test_kge_160401010304,5,0.5020236778385343
test_kge_160401010304,6,0.5052408970255247
test_kge_160401010304,7,0.5358154970925337
test_kge_160401010304,8,0.49509196211918427
test_kge_160401010304,9,0.47862000053944687
test_mse_160401010403,0,0.0006788239697925746
test_mse_160401010403,1,0.0009197494946420193
test_mse_160401010403,2,0.0007997187785804272
test_mse_160401010403,3,0.000759386457502842
test_mse_160401010403,4,0.0007653120555914938
test_mse_160401010403,5,0.0007488158880732954
test_mse_160401010403,6,0.0008903343696147203
test_mse_160401010403,7,0.0007469270494766533
test_mse_160401010403,8,0.0008567024488002062
test_mse_160401010403,9,0.0010271111968904734
train_mse_160401010408,0,3.292207111371681e-05
train_mse_160401010408,1,3.295250644441694e-05
train_mse_160401010408,2,2.9362850909819826e-05
train_mse_160401010408,3,3.102040136582218e-05
train_mse_160401010408,4,2.8975789973628707e-05
train_mse_160401010408,5,2.847475843736902e-05
train_mse_160401010408,6,2.5645871573942713e-05
train_mse_160401010408,7,2.8814822144340724e-05
train_mse_160401010408,8,2.7446822059573606e-05
train_mse_160401010408,9,2.816629239532631e-05
train_kge_160401010504,0,0.9099581324591415
train_kge_160401010504,1,0.9569144286419446
train_kge_160401010504,2,0.9356673254192447
train_kge_160401010504,3,0.9545087613751757
train_kge_160401010504,4,0.9120714211515918
train_kge_160401010504,5,0.9097178029030899
train_kge_160401010504,6,0.9415529336019598
train_kge_160401010504,7,0.9434634129574756
train_kge_160401010504,8,0.9291155968903703
train_kge_160401010504,9,0.9273644008896037
test_mse_160401010104,0,0.0003103782655671239
test_mse_160401010104,1,0.00037973214057274163
test_mse_160401010104,2,0.0002105232561007142
test_mse_160401010104,3,0.00040029623778536916
test_mse_160401010104,4,0.00026502300170250237
test_mse_160401010104,5,0.00025081681087613106
test_mse_160401010104,6,0.0002997033589053899
test_mse_160401010104,7,0.00028638343792408705
test_mse_160401010104,8,0.0003156655002385378
test_mse_160401010104,9,0.000331297138473019
test_kge_160401010203,0,0.7778652976704507
test_kge_160401010203,1,0.8382984355891405
test_kge_160401010203,2,0.6537214903607234
test_kge_160401010203,3,0.8818385966344541
test_kge_160401010203,4,0.7434213152350947
test_kge_160401010203,5,0.6717278212375337
test_kge_160401010203,6,0.6784692034840363
test_kge_160401010203,7,0.7475976863995022
test_kge_160401010203,8,0.768638930331097
test_kge_160401010203,9,0.8950031648682015
train_mse_160401010304,0,2.9050972443656065e-05
train_mse_160401010304,1,3.04823861370096e-05
train_mse_160401010304,2,2.648726149345748e-05
train_mse_160401010304,3,2.7989970476482995e-05
train_mse_160401010304,4,3.181652573402971e-05
train_mse_160401010304,5,2.891269286919851e-05
train_mse_160401010304,6,3.0196793886716478e-05
train_mse_160401010304,7,3.5355344152776524e-05
train_mse_160401010304,8,3.0366953069460578e-05
train_mse_160401010304,9,3.10633986373432e-05
test_kge_160401010404,0,0.6293689725672582
test_kge_160401010404,1,0.6033999565003688
test_kge_160401010404,2,0.694538758715965
test_kge_160401010404,3,0.6595480612270173
test_kge_160401010404,4,0.7230580388123482
test_kge_160401010404,5,0.6076359719784032
test_kge_160401010404,6,0.6634025021599125
test_kge_160401010404,7,0.5593772647739044
test_kge_160401010404,8,0.6494427708345469
test_kge_160401010404,9,0.6002302669829697
train_kge_160401010406,0,0.9101976655397701
train_kge_160401010406,1,0.7918773508833585
train_kge_160401010406,2,0.871562694488883
train_kge_160401010406,3,0.9689253797332059
train_kge_160401010406,4,0.9542944738950466
train_kge_160401010406,5,0.9036316270019783
train_kge_160401010406,6,0.9411194610971458
train_kge_160401010406,7,0.9037768644363229
train_kge_160401010406,8,0.9428379850234556
train_kge_160401010406,9,0.9460939742195723
test_mse_160401010506,0,0.00017266390204895288
test_mse_160401010506,1,0.00016582163516432047
test_mse_160401010506,2,0.00018215342424809933
test_mse_160401010506,3,0.00018768147856462747
test_mse_160401010506,4,0.00019543028611224145
test_mse_160401010506,5,0.00018736839410848916
test_mse_160401010506,6,0.00016917474567890167
test_mse_160401010506,7,0.0001704260939732194
test_mse_160401010506,8,0.00019071494170930237
test_mse_160401010506,9,0.00017439672956243157
test_mse_160401010408,0,0.00020536237570922822
test_mse_160401010408,1,0.00024109745572786778
test_mse_160401010408,2,0.00021975452546030283
test_mse_160401010408,3,0.0002397296775598079
test_mse_160401010408,4,0.00024042080622166395
test_mse_160401010408,5,0.00022417496074922383
test_mse_160401010408,6,0.0002222619077656418
test_mse_160401010408,7,0.00021966121857985854
test_mse_160401010408,8,0.00022388927754946053
test_mse_160401010408,9,0.0002068381436401978
test_mse_160401010604,0,0.00014621554873883724
test_mse_160401010604,1,0.00014520874537993222
