Metric,Step,Value
test_kge_170300010505,0,0.622192075001496
test_kge_170300010505,1,0.7302162130592593
test_kge_170300010505,2,0.7089063505231283
test_kge_170300010505,3,0.8119918943486111
test_kge_170300010505,4,0.9196521461344728
test_kge_170300010505,5,0.8494090629251357
test_kge_170300010505,6,0.8505168214193589
test_kge_170300010505,7,0.7881646047873718
test_kge_170300010505,8,-0.5187931454381904
test_kge_170300010505,9,-0.31073335657105505
train_mse_170300010301,0,0.03371555358171463
train_mse_170300010301,1,0.02267017588019371
train_mse_170300010301,2,0.022399907931685448
train_mse_170300010301,3,0.019941914826631546
train_mse_170300010301,4,0.018900547176599503
train_mse_170300010301,5,0.01798752322793007
train_mse_170300010301,6,0.018325578421354294
train_mse_170300010301,7,0.017984123900532722
train_mse_170300010301,8,0.02017633430659771
train_mse_170300010301,9,0.017140252515673637
train_mse_170300010505,0,0.0006420403951779008
train_mse_170300010505,1,0.0005343625671230257
train_mse_170300010505,2,0.0005143443704582751
train_mse_170300010505,3,0.0004425348888617009
train_mse_170300010505,4,0.0003342654381413013
train_mse_170300010505,5,0.00032083882251754403
train_mse_170300010505,6,0.00030117304413579404
train_mse_170300010505,7,0.000295094505418092
train_mse_170300010505,8,0.0016379799926653504
train_mse_170300010505,9,0.003591792657971382
test_kge_170300020305,0,0.7239673530793663
test_kge_170300020305,1,0.7359770228480992
test_kge_170300020305,2,0.8235811751414989
test_kge_170300020305,3,0.9017215319452373
test_kge_170300020305,4,0.6708286142426669
test_kge_170300020305,5,0.8231944426525959
test_kge_170300020305,6,0.8422787843383308
test_kge_170300020305,7,0.8162288145176841
test_kge_170300020305,8,0.8168318804230146
test_kge_170300020305,9,0.8140019341519275
test_kge_170300010203,0,0.814615232276078
test_kge_170300010203,1,0.6598337394978299
test_kge_170300010203,2,0.6418254296340162
test_kge_170300010203,3,0.7416703142918922
test_kge_170300010203,4,0.8840729144458176
test_kge_170300010203,5,0.5895441501237113
test_kge_170300010203,6,0.6328562687368717
test_kge_170300010203,7,0.7039459519778778
test_kge_170300010203,8,0.6194902002468596
test_kge_170300010203,9,0.7279720517068491
train_kge_170300010202,0,0.9238973631794768
train_kge_170300010202,1,0.9601052838548253
train_kge_170300010202,2,0.91699799441256
train_kge_170300010202,3,0.9665657854819896
train_kge_170300010202,4,0.9692426385351025
train_kge_170300010202,5,0.9515360061990218
train_kge_170300010202,6,0.924182589905343
train_kge_170300010202,7,0.9060554598443474
train_kge_170300010202,8,0.9530549962096577
train_kge_170300010202,9,0.7942874397287626
test_mse_170300010505,0,0.0003825617313850671
test_mse_170300010505,1,0.00031032299739308655
test_mse_170300010505,2,0.00032357455347664654
test_mse_170300010505,3,0.0002614437835291028
test_mse_170300010505,4,0.00021572360128629953
test_mse_170300010505,5,0.00019863720808643848
test_mse_170300010505,6,0.00022297236137092113
test_mse_170300010505,7,0.00019943532242905349
test_mse_170300010505,8,0.001594972563907504
test_mse_170300010505,9,0.002595071215182543
train_kge_170300010505,0,0.8180444953624897
train_kge_170300010505,1,0.8665201453220864
train_kge_170300010505,2,0.8389753252798026
train_kge_170300010505,3,0.8808411423265616
train_kge_170300010505,4,0.9285038559943285
train_kge_170300010505,5,0.8430697308006723
train_kge_170300010505,6,0.9075695207909792
